"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population"
"55","Alabama",2020-06-09,21422,729,"Tuesday",2651,76,"no",2020-07-16,2021-04-09,4887871,327167434
"56","Alabama",2020-06-16,26912,785,"Tuesday",5490,56,"no",2020-07-16,2021-04-09,4887871,327167434
"57","Alabama",2020-12-22,329811,4452,"Tuesday",28278,328,"no",2020-07-16,2021-04-09,4887871,327167434
"58","Alabama",2021-04-06,517114,10652,"Tuesday",2134,125,"no",2020-07-16,2021-04-09,4887871,327167434
"59","Alabama",2021-04-13,520503,10722,"Tuesday",3389,70,"no",2020-07-16,2021-04-09,4887871,327167434
"60","Alabama",2021-04-20,523955,10798,"Tuesday",3452,76,"no",2020-07-16,2021-04-09,4887871,327167434
"61","Alabama",2021-04-27,526707,10854,"Tuesday",2752,56,"no",2020-07-16,2021-04-09,4887871,327167434
"62","Alabama",2021-05-04,528784,10913,"Tuesday",2077,59,"no",2020-07-16,2021-04-09,4887871,327167434
"63","Alabama",2021-05-11,531404,10985,"Tuesday",2620,72,"no",2020-07-16,2021-04-09,4887871,327167434
"64","Alabama",2021-08-31,699729,12283,"Tuesday",34076,283,"no",2020-07-16,2021-04-09,4887871,327167434
"65","Alabama",2021-11-23,843780,16086,"Tuesday",3285,87,"no",2020-07-16,2021-04-09,4887871,327167434
"66","Alabama",2021-06-01,544045,11156,"Tuesday",1483,32,"no",2020-07-16,2021-04-09,4887871,327167434
"67","Alabama",2020-05-26,15650,580,"Tuesday",3274,76,"no",2020-07-16,2021-04-09,4887871,327167434
"68","Alabama",2020-06-02,18771,653,"Tuesday",3121,73,"no",2020-07-16,2021-04-09,4887871,327167434
"69","Alabama",2020-11-24,236865,3472,"Tuesday",16017,171,"no",2020-07-16,2021-04-09,4887871,327167434
"70","Alabama",2021-08-10,615901,11648,"Tuesday",23484,106,"no",2020-07-16,2021-04-09,4887871,327167434
"71","Alabama",2021-08-17,641386,11832,"Tuesday",25485,184,"no",2020-07-16,2021-04-09,4887871,327167434
"72","Alabama",2021-02-23,488973,9660,"Tuesday",6485,403,"no",2020-07-16,2021-04-09,4887871,327167434
"73","Alabama",2021-02-09,474666,8579,"Tuesday",11728,685,"no",2020-07-16,2021-04-09,4887871,327167434
"74","Alabama",2021-02-16,482488,9257,"Tuesday",7822,678,"no",2020-07-16,2021-04-09,4887871,327167434
"75","Alabama",2020-03-17,39,0,"Tuesday",0,0,"no",2020-07-16,2021-04-09,4887871,327167434
"76","Alabama",2020-11-03,195929,2987,"Tuesday",9492,95,"no",2020-07-16,2021-04-09,4887871,327167434
"77","Alabama",2021-05-18,540603,11043,"Tuesday",9199,58,"no",2020-07-16,2021-04-09,4887871,327167434
"78","Alabama",2020-08-11,103851,1847,"Tuesday",10149,181,"no",2020-07-16,2021-04-09,4887871,327167434
"79","Alabama",2020-08-18,110361,1936,"Tuesday",6510,89,"no",2020-07-16,2021-04-09,4887871,327167434
