"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks"
"144","Alaska",2020-03-24,42,0,"Tuesday",36,0,"no",2020-04-24,2020-05-22,737438,327167434,0.0569539405346619,0,0,2
"145","Arizona",2020-03-24,326,6,"Tuesday",306,6,"no",2020-05-08,2021-03-25,7171646,327167434,0.0454567891387835,0.000836628020959205,1.84049079754601,9
"146","Arkansas",2020-03-24,231,2,"Tuesday",209,2,"no",2020-07-20,2021-03-30,3013825,327167434,0.0766467860609027,0.000663608537323833,0.865800865800866,2
"147","California",2020-03-24,2644,52,"Tuesday",1912,38,"no",2020-06-18,NA,39557045,327167434,0.0668401797960389,0.00131455724258473,1.96671709531014,9
"148","Colorado",2020-03-24,912,11,"Tuesday",729,8,"no",2020-07-16,2021-05-15,5695564,327167434,0.160124616280319,0.0019313276086442,1.20614035087719,3
"149","Connecticut",2020-03-24,618,12,"Tuesday",550,12,"no",2020-04-20,NA,3572665,327167434,0.172980114284435,0.00335883717057155,1.94174757281553,3
"150","Delaware",2020-03-24,104,0,"Tuesday",88,0,"no",2020-04-28,2021-05-21,967171,327167434,0.107530105844778,0,0,2
"151","District of Columbia",2020-03-24,137,2,"Tuesday",106,2,"no",2020-07-22,NA,702455,327167434,0.195030286637578,0.00284715746916173,1.45985401459854,3
"152","Florida",2020-03-24,1467,20,"Tuesday",1257,14,"no",2020-05-11,2021-05-04,21299325,327167434,0.0688754221084471,0.00093899689309403,1.36332651670075,4
"153","Georgia",2020-03-24,1095,38,"Tuesday",953,37,"no",2020-04-24,2021-05-01,10519475,327167434,0.104092647209105,0.0036123475743799,3.4703196347032,4
"154","Guam",2020-03-24,32,1,"Tuesday",29,1,"no",NA,NA,NA,NA,NA,NA,3.125,2
"155","Hawaii",2020-03-24,90,0,"Tuesday",76,0,"no",2020-11-16,NA,1420491,327167434,0.0633583739706904,0,0,3
"156","Idaho",2020-03-24,73,0,"Tuesday",64,0,"no",NA,NA,1754208,327167434,0.0416142213466134,0,0,2
"157","Illinois",2020-03-24,1535,16,"Tuesday",1376,15,"no",2020-05-01,2021-06-11,12741080,327167434,0.12047644312727,0.00125578051468164,1.04234527687296,9
"158","Indiana",2020-03-24,371,17,"Tuesday",341,15,"no",2020-07-27,2021-04-06,6691878,327167434,0.0554403412614516,0.00254039299580775,4.5822102425876,3
"159","Iowa",2020-03-24,124,1,"Tuesday",95,1,"no",2020-11-17,2021-02-07,3156145,327167434,0.0392884357340997,0.000316842223662094,0.806451612903226,3
"160","Kansas",2020-03-24,102,3,"Tuesday",85,2,"no",2020-07-03,2021-04-01,2911505,327167434,0.035033427728958,0.00103039493320465,2.94117647058824,3
"161","Kentucky",2020-03-24,157,3,"Tuesday",131,2,"no",2020-07-10,2021-06-11,4468402,327167434,0.0351356032872602,0.000671380954533634,1.91082802547771,3
"162","Louisiana",2020-03-24,1388,46,"Tuesday",1192,41,"no",2020-08-07,2021-04-28,4659978,327167434,0.297855483437905,0.00987129123785563,3.31412103746398,3
"163","Maine",2020-03-24,118,0,"Tuesday",86,0,"no",2020-05-01,2021-05-24,1338404,327167434,0.0881647096093556,0,0,2
"164","Maryland",2020-03-24,349,4,"Tuesday",292,4,"no",2020-04-18,2021-05-15,6042718,327167434,0.0577554669934953,0.000661953776429746,1.14613180515759,3
"165","Massachusetts",2020-03-24,1159,11,"Tuesday",941,11,"no",2020-05-06,2021-05-29,6902149,327167434,0.167918716330233,0.00159370653980376,0.94909404659189,8
"166","Michigan",2020-03-24,1791,24,"Tuesday",1726,24,"no",2020-04-27,2020-10-02,9995915,327167434,0.179173192249034,0.00240098080065707,1.34003350083752,3
"167","Minnesota",2020-03-24,264,1,"Tuesday",204,1,"no",2020-07-25,2021-05-14,5611179,327167434,0.0470489357049561,0.000178215665549076,0.378787878787879,3
"168","Mississippi",2020-03-24,320,1,"Tuesday",299,1,"no",2020-08-05,2020-09-30,2986530,327167434,0.107147760109559,0.000334836750342371,0.3125,2
"169","Missouri",2020-03-24,255,5,"Tuesday",239,5,"no",NA,NA,6126452,327167434,0.0416227859126294,0.00081613305711038,1.96078431372549,3
"170","Montana",2020-03-24,51,0,"Tuesday",43,0,"no",2020-07-15,2021-02-12,1062305,327167434,0.0480088110288477,0,0,2
"171","Nebraska",2020-03-24,77,0,"Tuesday",41,0,"no",NA,NA,1929268,327167434,0.0399115104796223,0,0,6
"172","Nevada",2020-03-24,315,6,"Tuesday",260,5,"no",2020-06-26,NA,3034392,327167434,0.103809923042244,0.00197733186747131,1.9047619047619,3
"173","New Hampshire",2020-03-24,108,1,"Tuesday",82,1,"no",2020-11-20,2021-04-16,1356458,327167434,0.0796191256935342,0.000737214126791983,0.925925925925926,4
"174","New Jersey",2020-03-24,3675,44,"Tuesday",3407,41,"no",2020-04-08,2021-05-28,8908520,327167434,0.412526435367491,0.00493909201528425,1.19727891156463,3
"175","New Mexico",2020-03-24,100,0,"Tuesday",77,0,"no",2020-05-15,NA,2095428,327167434,0.0477229472928681,0,0,2
